Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00009.ppm;38;36;6;5;33;31;30
00000_00010.ppm;38;36;6;5;33;31;30
00000_00017.ppm;51;46;5;6;46;41;30
00000_00018.ppm;50;47;5;6;45;42;30
00001_00005.ppm;37;35;5;6;32;30;30
00001_00007.ppm;38;35;6;6;33;30;30
00001_00009.ppm;38;36;5;6;33;31;30
00001_00010.ppm;39;36;6;6;34;31;30
00001_00011.ppm;39;36;6;6;34;31;30
00001_00012.ppm;38;36;5;6;33;31;30
00001_00013.ppm;39;36;5;5;34;31;30
00001_00014.ppm;39;37;5;5;34;32;30
00001_00015.ppm;42;39;6;6;37;34;30
00001_00016.ppm;43;39;5;5;38;34;30
00001_00019.ppm;44;40;5;6;39;35;30
00002_00001.ppm;38;35;6;6;33;30;30
00002_00002.ppm;39;36;6;5;34;31;30
00002_00003.ppm;39;36;6;5;34;31;30
00002_00004.ppm;38;37;5;6;33;32;30
00002_00005.ppm;39;37;5;5;34;32;30
00002_00006.ppm;40;37;6;5;35;32;30
00002_00007.ppm;43;39;6;5;38;34;30
00002_00008.ppm;44;40;5;5;39;35;30
00002_00010.ppm;47;43;6;6;42;38;30
00002_00011.ppm;47;43;6;6;42;38;30
00002_00012.ppm;51;46;6;5;46;41;30
00002_00013.ppm;51;47;6;6;46;42;30
00002_00014.ppm;52;47;5;5;47;42;30
00002_00015.ppm;54;50;5;5;49;45;30
00002_00016.ppm;57;53;5;6;52;48;30
00002_00017.ppm;60;55;5;6;55;50;30
00002_00018.ppm;60;55;5;5;55;50;30
00002_00021.ppm;74;68;6;7;68;62;30
00002_00022.ppm;77;70;7;7;71;64;30
00003_00001.ppm;40;37;5;5;35;32;30
00003_00003.ppm;44;40;5;6;39;35;30
00003_00012.ppm;52;47;5;6;47;42;30
00003_00015.ppm;60;55;5;6;55;50;30
00003_00019.ppm;74;68;6;6;68;62;30
00004_00000.ppm;38;38;5;6;33;33;30
00004_00001.ppm;38;38;5;5;33;32;30
00004_00002.ppm;39;38;5;5;34;33;30
00004_00003.ppm;41;39;6;6;36;34;30
00004_00004.ppm;42;39;6;5;37;34;30
00004_00005.ppm;41;41;5;6;36;35;30
00004_00006.ppm;43;41;6;6;38;36;30
00004_00007.ppm;43;41;5;6;38;36;30
00004_00011.ppm;51;46;5;6;46;41;30
00004_00012.ppm;53;48;5;5;48;43;30
00004_00014.ppm;56;51;6;6;51;46;30
00004_00016.ppm;59;55;5;6;54;50;30
00004_00017.ppm;62;56;5;5;57;51;30
00004_00022.ppm;82;74;7;7;75;68;30
00005_00007.ppm;37;36;5;6;32;31;30
00005_00008.ppm;41;37;6;6;36;32;30
00005_00010.ppm;42;38;6;6;37;33;30
00005_00011.ppm;43;39;6;6;38;34;30
00005_00012.ppm;44;40;6;5;39;35;30
00005_00013.ppm;45;41;6;5;40;36;30
00005_00014.ppm;47;45;6;6;42;40;30
00005_00015.ppm;48;46;6;6;43;41;30
00005_00016.ppm;49;46;6;6;44;41;30
00005_00017.ppm;49;47;6;6;44;42;30
00005_00018.ppm;51;48;5;5;46;43;30
00005_00019.ppm;53;48;6;5;48;43;30
00005_00020.ppm;52;49;5;5;47;44;30
00005_00021.ppm;55;52;5;5;50;47;30
00005_00022.ppm;60;57;5;6;55;52;30
00006_00015.ppm;35;35;6;6;30;30;30
00006_00016.ppm;39;38;6;5;34;33;30
00006_00017.ppm;40;40;5;5;35;35;30
00006_00018.ppm;41;41;6;6;36;36;30
00006_00019.ppm;44;45;5;6;39;40;30
00006_00020.ppm;47;47;6;6;42;42;30
00006_00021.ppm;46;46;5;5;41;41;30
00006_00022.ppm;48;49;5;6;43;44;30
00006_00023.ppm;51;51;6;6;46;46;30
00006_00024.ppm;55;55;6;6;50;50;30
00006_00025.ppm;59;59;6;6;54;54;30
00006_00026.ppm;60;61;5;6;55;56;30
00006_00027.ppm;65;64;6;5;60;59;30
00006_00028.ppm;73;72;7;6;67;66;30
00006_00029.ppm;93;93;9;9;85;85;30
00007_00000.ppm;36;36;5;5;31;31;30
00007_00001.ppm;37;37;6;6;32;32;30
00007_00002.ppm;37;38;6;6;32;33;30
00007_00003.ppm;38;39;6;6;33;34;30
00007_00004.ppm;40;39;6;5;35;34;30
00007_00005.ppm;41;41;5;6;36;36;30
00007_00006.ppm;43;42;6;6;37;36;30
00007_00007.ppm;43;41;6;5;38;36;30
00007_00008.ppm;44;44;5;6;39;39;30
00007_00009.ppm;48;44;6;5;43;39;30
00007_00010.ppm;47;45;5;5;42;39;30
00007_00011.ppm;49;46;6;6;44;41;30
00007_00012.ppm;50;47;5;5;45;42;30
00007_00013.ppm;53;50;5;6;48;45;30
00007_00014.ppm;54;50;5;5;49;45;30
00007_00015.ppm;56;51;6;5;51;46;30
00007_00016.ppm;59;54;6;6;53;49;30
00007_00017.ppm;62;57;6;5;57;52;30
00007_00018.ppm;64;59;6;5;59;54;30
00007_00019.ppm;64;62;5;6;59;57;30
00007_00020.ppm;69;65;6;6;63;60;30
00007_00021.ppm;75;70;6;6;69;64;30
00007_00022.ppm;80;73;7;6;73;67;30
00007_00023.ppm;86;80;8;7;79;73;30
00007_00024.ppm;93;84;8;7;85;77;30
00007_00028.ppm;135;124;11;11;124;114;30
00008_00009.ppm;38;36;5;6;33;31;30
00008_00014.ppm;41;37;5;5;36;32;30
00008_00015.ppm;43;39;5;6;38;34;30
00008_00016.ppm;45;41;5;6;40;36;30
00008_00020.ppm;50;45;5;6;45;40;30
00008_00026.ppm;75;69;6;7;69;63;30
00008_00027.ppm;83;75;7;7;76;69;30
00009_00000.ppm;40;38;6;5;35;33;30
00009_00001.ppm;41;42;6;6;36;37;30
00009_00002.ppm;42;43;6;6;37;38;30
00009_00003.ppm;43;42;6;5;38;37;30
00009_00005.ppm;46;44;5;5;41;39;30
00009_00006.ppm;48;44;5;5;43;39;30
00009_00007.ppm;48;44;6;5;43;39;30
00009_00008.ppm;50;46;6;5;45;41;30
00009_00009.ppm;52;48;5;6;47;43;30
00009_00011.ppm;54;50;5;6;49;45;30
00009_00013.ppm;61;55;6;5;56;50;30
00009_00014.ppm;61;57;5;6;56;52;30
00009_00019.ppm;74;68;6;7;68;62;30
00009_00021.ppm;87;80;7;8;80;73;30
00010_00001.ppm;36;35;6;6;31;30;30
00010_00002.ppm;36;35;6;6;31;30;30
00010_00003.ppm;36;36;5;6;31;31;30
00010_00004.ppm;36;35;5;5;31;30;30
00010_00005.ppm;36;36;5;6;31;31;30
00010_00006.ppm;37;36;5;5;32;31;30
00010_00007.ppm;38;38;5;6;33;33;30
00010_00008.ppm;39;37;6;5;34;32;30
00010_00009.ppm;38;39;5;6;33;34;30
00010_00010.ppm;39;39;5;6;34;34;30
00010_00011.ppm;41;39;5;5;36;34;30
00010_00012.ppm;43;41;5;6;38;36;30
00010_00013.ppm;43;41;5;6;38;36;30
00010_00014.ppm;43;40;5;5;38;35;30
00010_00016.ppm;46;43;5;6;41;38;30
00010_00017.ppm;47;43;5;5;42;38;30
00010_00018.ppm;50;46;6;6;45;41;30
00010_00019.ppm;51;47;5;5;46;42;30
00010_00020.ppm;51;47;5;5;46;42;30
00010_00021.ppm;52;47;6;5;47;42;30
00010_00022.ppm;53;50;5;6;48;45;30
00010_00023.ppm;57;52;6;5;52;47;30
00010_00024.ppm;58;55;5;6;53;50;30
00010_00025.ppm;59;55;5;5;54;50;30
00010_00026.ppm;62;58;5;6;57;53;30
00010_00028.ppm;71;64;6;6;65;59;30
00010_00029.ppm;75;69;6;6;69;63;30
00011_00006.ppm;35;35;6;6;30;30;30
00011_00007.ppm;36;36;5;6;30;31;30
00011_00008.ppm;36;36;5;6;30;31;30
00011_00009.ppm;36;37;5;6;31;32;30
00011_00010.ppm;38;37;6;6;32;32;30
00011_00011.ppm;37;39;5;6;32;33;30
00011_00012.ppm;39;41;5;6;34;35;30
00011_00013.ppm;42;42;6;6;37;37;30
00011_00014.ppm;44;43;6;5;39;38;30
00011_00015.ppm;44;44;5;5;39;39;30
00011_00016.ppm;46;47;5;6;41;42;30
