Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00009.ppm;36;37;5;6;31;32;26
00000_00010.ppm;37;36;6;5;32;31;26
00000_00011.ppm;38;38;6;6;33;33;26
00000_00012.ppm;39;40;6;6;34;35;26
00000_00013.ppm;40;40;6;5;35;35;26
00000_00014.ppm;40;43;5;6;35;38;26
00000_00015.ppm;44;46;6;6;39;41;26
00000_00016.ppm;45;47;5;5;40;42;26
00000_00017.ppm;51;50;6;6;46;45;26
00000_00018.ppm;55;52;6;5;50;46;26
00000_00019.ppm;58;56;5;6;52;50;26
00000_00020.ppm;60;58;5;6;55;53;26
00000_00021.ppm;65;61;6;6;60;56;26
00000_00023.ppm;77;71;7;7;71;65;26
00000_00024.ppm;87;79;8;7;80;72;26
00000_00025.ppm;96;88;9;7;88;80;26
00000_00026.ppm;106;99;9;9;97;91;26
00000_00027.ppm;132;121;11;10;121;111;26
00000_00028.ppm;166;151;15;13;151;138;26
00000_00029.ppm;208;191;18;17;191;175;26
00001_00000.ppm;41;38;6;5;36;33;26
00001_00001.ppm;40;38;6;5;35;33;26
00001_00002.ppm;41;39;6;6;36;34;26
00001_00003.ppm;42;40;6;6;37;35;26
00001_00004.ppm;42;39;6;5;37;34;26
00001_00005.ppm;41;40;5;5;36;35;26
00001_00006.ppm;43;40;5;5;38;35;26
00001_00007.ppm;44;41;5;5;39;36;26
00001_00008.ppm;47;44;6;5;41;38;26
00001_00009.ppm;46;45;5;6;41;40;26
00001_00010.ppm;47;47;5;6;42;41;26
00001_00011.ppm;49;46;5;5;43;41;26
00001_00012.ppm;49;48;5;6;44;43;26
00001_00013.ppm;51;48;6;5;45;42;26
00001_00014.ppm;52;49;6;5;47;44;26
00001_00015.ppm;53;50;6;5;48;45;26
00001_00016.ppm;54;53;5;6;48;47;26
00001_00017.ppm;56;53;6;5;51;48;26
00001_00018.ppm;58;56;5;6;52;51;26
00001_00019.ppm;60;59;6;6;55;53;26
00001_00020.ppm;62;60;6;6;57;55;26
00001_00021.ppm;64;63;6;6;59;58;26
00001_00022.ppm;69;65;6;6;63;60;26
00001_00023.ppm;73;71;6;7;67;65;26
00001_00024.ppm;77;74;7;7;71;68;26
00001_00025.ppm;83;80;7;8;76;73;26
00001_00026.ppm;88;86;8;7;81;79;26
00001_00027.ppm;95;96;8;9;87;88;26
00001_00028.ppm;104;104;9;9;95;95;26
00001_00029.ppm;111;117;9;10;102;107;26
00002_00015.ppm;37;35;6;5;32;30;26
00002_00016.ppm;37;37;5;6;32;32;26
00002_00017.ppm;40;36;6;5;35;31;26
