Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;42;41;6;5;37;36;15
00000_00001.ppm;37;40;6;6;32;35;15
00000_00002.ppm;38;40;6;5;33;35;15
00000_00003.ppm;38;42;5;6;33;37;15
00000_00004.ppm;41;45;5;6;36;40;15
00000_00005.ppm;42;44;6;5;37;39;15
00000_00006.ppm;42;44;5;5;37;39;15
00000_00007.ppm;43;44;6;5;38;39;15
00000_00008.ppm;45;47;6;6;40;42;15
00000_00009.ppm;46;47;6;6;40;42;15
00000_00010.ppm;45;48;5;6;40;43;15
00000_00011.ppm;46;48;6;6;41;43;15
00000_00012.ppm;46;47;5;5;41;42;15
00000_00013.ppm;47;49;6;6;42;44;15
00000_00014.ppm;47;50;5;6;42;45;15
00000_00015.ppm;49;50;6;5;44;44;15
00000_00016.ppm;49;50;5;5;44;45;15
00000_00017.ppm;50;50;5;5;45;45;15
00000_00018.ppm;51;51;5;5;46;46;15
00000_00019.ppm;52;53;5;6;46;47;15
00000_00020.ppm;53;53;6;6;48;48;15
00000_00021.ppm;53;54;6;6;48;48;15
00000_00022.ppm;54;55;6;6;49;49;15
00000_00023.ppm;55;54;6;5;50;49;15
00000_00024.ppm;55;57;5;6;50;51;15
00000_00025.ppm;57;58;6;6;52;52;15
00000_00026.ppm;58;59;6;6;53;54;15
00000_00027.ppm;59;61;5;6;54;56;15
00000_00028.ppm;61;63;6;6;55;57;15
00000_00029.ppm;60;63;6;5;56;58;15
00002_00029.ppm;125;136;10;12;114;125;15
00003_00015.ppm;36;39;6;6;31;34;15
00003_00016.ppm;36;40;5;6;31;35;15
00003_00017.ppm;37;40;5;5;32;35;15
00003_00018.ppm;38;41;6;6;33;36;15
00003_00019.ppm;38;41;6;5;33;35;15
00003_00020.ppm;39;43;6;6;34;37;15
00003_00021.ppm;40;43;6;6;35;38;15
00003_00022.ppm;40;44;5;6;35;39;15
00003_00023.ppm;42;46;5;6;37;41;15
00003_00024.ppm;43;46;5;6;38;41;15
00003_00025.ppm;46;48;6;6;41;43;15
00003_00026.ppm;47;48;6;5;42;43;15
00003_00027.ppm;49;50;6;5;44;45;15
00003_00028.ppm;50;52;5;5;45;47;15
00003_00029.ppm;51;53;5;5;46;48;15
00004_00010.ppm;35;36;6;6;30;31;15
00004_00011.ppm;36;37;6;6;31;32;15
