Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00002.ppm;36;35;6;5;31;30;21
00000_00003.ppm;37;37;6;6;32;32;21
00000_00004.ppm;38;38;6;6;33;33;21
00000_00005.ppm;39;38;6;6;34;33;21
00000_00006.ppm;40;39;6;6;35;34;21
00000_00007.ppm;42;40;6;6;37;35;21
00000_00008.ppm;42;42;5;6;37;36;21
00000_00009.ppm;45;42;6;5;39;36;21
00000_00010.ppm;44;44;5;6;39;38;21
00000_00011.ppm;46;44;5;5;41;38;21
00000_00012.ppm;48;46;5;6;43;41;21
00000_00013.ppm;50;47;5;5;45;42;21
00000_00014.ppm;51;48;5;5;46;43;21
00000_00015.ppm;54;50;6;5;49;45;21
00000_00016.ppm;56;51;6;5;51;46;21
00000_00017.ppm;58;54;6;6;53;49;21
00000_00018.ppm;62;58;6;6;56;52;21
00000_00019.ppm;65;61;6;6;60;56;21
00000_00020.ppm;69;64;7;6;63;59;21
00000_00021.ppm;72;68;7;6;65;61;21
00000_00022.ppm;77;73;7;7;71;67;21
00000_00023.ppm;85;80;8;8;78;73;21
00000_00024.ppm;94;87;8;7;86;80;21
00000_00025.ppm;99;94;9;9;91;86;21
00000_00026.ppm;111;101;10;8;101;92;21
00000_00028.ppm;141;127;12;11;129;116;21
00001_00008.ppm;38;36;5;6;33;31;21
00001_00009.ppm;40;37;6;6;35;32;21
00001_00010.ppm;40;36;6;5;35;31;21
00001_00011.ppm;42;39;6;6;37;34;21
00001_00012.ppm;43;40;6;6;38;35;21
00001_00013.ppm;43;39;6;5;38;34;21
00001_00014.ppm;43;42;5;6;38;37;21
00001_00015.ppm;44;43;5;6;39;38;21
00001_00016.ppm;46;43;6;5;41;38;21
00001_00018.ppm;49;45;5;6;44;40;21
00001_00019.ppm;52;47;5;5;47;42;21
00001_00020.ppm;53;49;6;5;48;44;21
00001_00021.ppm;56;51;6;6;51;46;21
00001_00022.ppm;61;55;6;5;56;50;21
00002_00009.ppm;37;35;5;5;32;30;21
00002_00010.ppm;39;36;6;5;34;31;21
00002_00011.ppm;39;38;5;6;34;33;21
00002_00012.ppm;38;38;5;6;33;33;21
00002_00013.ppm;40;39;5;5;35;34;21
00002_00014.ppm;40;40;6;6;35;35;21
00002_00015.ppm;41;41;5;6;36;36;21
00002_00016.ppm;44;42;6;6;39;37;21
00002_00017.ppm;46;42;6;6;41;37;21
00002_00018.ppm;47;44;5;6;42;39;21
00002_00019.ppm;49;45;6;6;44;40;21
00002_00020.ppm;51;47;5;6;46;42;21
00002_00022.ppm;54;49;5;6;49;44;21
00002_00023.ppm;56;51;5;6;51;46;21
00002_00025.ppm;63;57;5;5;58;52;21
00003_00006.ppm;36;36;6;6;31;31;21
00003_00007.ppm;37;37;5;5;32;32;21
