Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00001_00010.ppm;39;36;6;5;34;30;19
00001_00011.ppm;40;38;5;6;35;33;19
00001_00012.ppm;43;39;6;5;38;34;19
00001_00013.ppm;43;39;6;5;38;34;19
00001_00014.ppm;45;41;6;6;40;36;19
00001_00015.ppm;47;43;5;6;41;38;19
00001_00018.ppm;54;49;5;6;48;43;19
00001_00020.ppm;58;54;5;5;53;48;19
00001_00021.ppm;63;57;5;5;58;52;19
00002_00000.ppm;44;40;6;6;39;35;19
00002_00002.ppm;44;40;5;5;38;34;19
00002_00004.ppm;46;43;6;6;41;37;19
00003_00006.ppm;35;36;5;6;30;30;19
00003_00007.ppm;35;36;5;6;30;30;19
00003_00008.ppm;37;37;6;6;32;31;19
00003_00009.ppm;39;37;6;5;33;31;19
00003_00010.ppm;40;39;6;6;34;33;19
00003_00011.ppm;40;39;5;5;35;34;19
00003_00012.ppm;42;40;6;5;37;35;19
00003_00013.ppm;42;41;5;5;36;35;19
00003_00014.ppm;44;41;6;5;38;36;19
00003_00015.ppm;43;42;5;5;38;37;19
00003_00016.ppm;46;43;6;5;40;38;19
00003_00017.ppm;48;46;6;5;43;40;19
00003_00018.ppm;50;47;6;5;45;42;19
00003_00019.ppm;54;50;6;5;49;45;19
00003_00020.ppm;57;54;6;6;51;48;19
00003_00021.ppm;59;57;6;6;54;51;19
00003_00022.ppm;64;61;6;6;58;55;19
00003_00023.ppm;70;63;7;5;64;57;19
00003_00026.ppm;88;80;7;7;81;73;19
00003_00027.ppm;95;88;9;7;87;81;19
00003_00028.ppm;110;104;9;9;100;94;19
00003_00029.ppm;141;128;13;11;129;117;19
00004_00000.ppm;39;37;5;6;34;32;19
00004_00001.ppm;40;38;6;6;35;33;19
00004_00002.ppm;40;38;5;5;35;33;19
00004_00003.ppm;41;39;5;6;36;34;19
00004_00004.ppm;42;39;6;6;37;34;19
00004_00005.ppm;41;39;5;5;36;34;19
00004_00006.ppm;43;41;6;6;38;36;19
00004_00007.ppm;43;41;5;5;38;36;19
00004_00008.ppm;45;42;6;5;40;37;19
00004_00009.ppm;47;45;5;6;42;40;19
00004_00010.ppm;48;45;5;5;43;40;19
00004_00011.ppm;50;46;6;5;45;41;19
00004_00012.ppm;50;47;5;5;45;42;19
00004_00013.ppm;51;48;5;5;46;43;19
00004_00014.ppm;54;50;6;5;49;45;19
00004_00015.ppm;54;51;5;5;49;46;19
00004_00016.ppm;55;52;5;5;50;47;19
00004_00017.ppm;58;56;6;6;53;51;19
00004_00018.ppm;59;57;5;5;54;52;19
00004_00019.ppm;61;59;6;6;56;54;19
00004_00020.ppm;64;60;6;5;59;55;19
00004_00021.ppm;64;62;5;6;59;57;19
00004_00022.ppm;71;67;7;6;65;61;19
00004_00023.ppm;75;71;7;7;69;65;19
00004_00024.ppm;79;73;7;6;72;67;19
00004_00025.ppm;83;76;8;6;76;70;19
00004_00026.ppm;88;83;8;7;81;76;19
00004_00027.ppm;95;91;8;8;87;83;19
00004_00028.ppm;104;97;10;9;95;89;19
00004_00029.ppm;111;106;10;10;102;97;19
00005_00011.ppm;38;36;6;5;33;30;19
00005_00012.ppm;40;37;6;5;35;32;19
00005_00013.ppm;41;39;5;6;35;34;19
00005_00014.ppm;45;41;6;6;40;36;19
00005_00016.ppm;46;43;5;6;41;38;19
00005_00017.ppm;48;45;5;6;43;40;19
00005_00018.ppm;51;47;5;6;46;42;19
00005_00019.ppm;54;50;6;6;49;45;19
00005_00020.ppm;55;51;5;6;50;45;19
00005_00022.ppm;61;55;6;5;55;49;19
00005_00023.ppm;65;60;5;6;59;54;19
00005_00024.ppm;71;64;7;6;65;59;19
00005_00025.ppm;77;71;6;6;70;65;19
00005_00026.ppm;84;76;7;7;77;70;19
00005_00028.ppm;105;95;10;9;96;87;19
00006_00001.ppm;38;35;6;6;33;30;19
00006_00002.ppm;38;37;5;6;32;31;19
00006_00003.ppm;38;37;5;5;32;31;19
00006_00004.ppm;40;38;6;6;35;33;19
00006_00005.ppm;39;38;5;6;34;33;19
00006_00006.ppm;41;39;6;6;36;34;19
00006_00007.ppm;42;40;5;6;37;35;19
00006_00008.ppm;44;40;6;6;39;35;19
00006_00009.ppm;42;38;5;5;37;33;19
00006_00010.ppm;45;41;6;6;40;36;19
00006_00011.ppm;45;43;6;6;40;37;19
00006_00012.ppm;46;43;6;6;41;38;19
00006_00013.ppm;47;43;5;5;42;38;19
00006_00014.ppm;48;45;5;5;43;40;19
00006_00015.ppm;51;47;5;5;46;42;19
00006_00016.ppm;52;50;5;6;47;45;19
00006_00017.ppm;53;50;5;5;48;45;19
00006_00018.ppm;59;54;6;6;54;49;19
00006_00019.ppm;60;55;5;5;55;50;19
00006_00020.ppm;63;59;5;6;58;54;19
00006_00021.ppm;68;62;6;5;61;56;19
00006_00022.ppm;72;68;6;6;66;62;19
00006_00023.ppm;80;72;7;6;73;65;19
