Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00001_00016.ppm;35;35;5;5;30;30;17
00001_00017.ppm;37;36;6;5;32;31;17
00001_00018.ppm;37;37;6;5;32;31;17
00001_00019.ppm;37;37;5;5;32;32;17
00001_00020.ppm;37;38;5;6;32;33;17
00001_00021.ppm;39;38;6;5;34;33;17
00001_00022.ppm;40;40;5;5;35;35;17
00001_00023.ppm;42;43;5;6;37;38;17
00001_00024.ppm;42;42;5;5;37;37;17
00001_00025.ppm;45;45;5;5;39;40;17
00001_00026.ppm;44;45;5;5;39;40;17
00001_00027.ppm;47;49;5;6;41;43;17
00001_00028.ppm;50;51;6;6;45;46;17
00001_00029.ppm;52;53;6;6;47;48;17
00003_00017.ppm;35;37;5;5;30;31;17
00003_00018.ppm;36;38;5;6;31;33;17
00003_00019.ppm;37;38;5;5;32;32;17
00003_00020.ppm;37;39;5;6;32;34;17
00003_00021.ppm;39;41;5;6;34;35;17
00003_00022.ppm;41;41;5;5;35;36;17
00003_00023.ppm;43;45;5;5;38;39;17
00003_00024.ppm;46;48;5;6;41;42;17
00003_00025.ppm;49;49;6;6;44;44;17
00003_00026.ppm;48;50;5;5;43;45;17
00003_00027.ppm;51;52;6;5;46;46;17
00003_00028.ppm;56;57;6;6;50;51;17
00003_00029.ppm;61;62;6;6;56;57;17
00004_00001.ppm;39;41;5;6;33;36;17
00004_00002.ppm;41;44;6;6;35;38;17
00004_00004.ppm;41;45;6;6;36;40;17
00004_00005.ppm;43;45;6;5;37;39;17
00004_00006.ppm;43;47;6;6;38;42;17
00004_00007.ppm;45;49;6;5;40;43;17
00004_00008.ppm;46;50;5;6;40;45;17
00004_00009.ppm;46;50;5;6;41;45;17
00004_00010.ppm;50;51;5;5;45;46;17
00004_00011.ppm;52;53;6;5;47;48;17
00004_00012.ppm;53;55;6;6;48;49;17
00004_00013.ppm;55;55;6;6;50;50;17
00004_00014.ppm;56;57;5;5;51;51;17
00004_00015.ppm;59;59;6;5;54;54;17
00004_00016.ppm;61;61;6;5;56;56;17
00004_00017.ppm;63;63;5;5;57;58;17
00004_00028.ppm;35;35;5;6;30;30;17
00004_00029.ppm;35;35;5;6;30;30;17
00005_00011.ppm;35;35;6;6;30;30;17
00005_00013.ppm;35;36;5;6;30;31;17
00005_00014.ppm;36;37;5;5;31;31;17
00005_00015.ppm;38;38;6;6;33;33;17
00005_00016.ppm;38;38;5;5;33;33;17
00005_00017.ppm;40;41;6;6;35;35;17
00005_00018.ppm;41;42;5;5;36;36;17
00005_00019.ppm;43;43;6;6;38;38;17
00005_00020.ppm;44;43;6;5;38;37;17
00005_00021.ppm;46;46;5;6;40;41;17
00005_00022.ppm;47;48;5;6;42;43;17
00005_00023.ppm;49;51;5;6;44;45;17
00005_00024.ppm;51;53;5;6;46;47;17
00005_00025.ppm;55;55;6;6;50;50;17
00005_00026.ppm;56;59;5;6;51;53;17
00005_00027.ppm;61;62;5;6;56;57;17
00005_00028.ppm;64;66;5;6;59;60;17
00005_00029.ppm;73;75;6;7;67;68;17
00006_00010.ppm;36;37;6;6;30;31;17
00006_00011.ppm;37;37;6;6;31;32;17
00006_00012.ppm;37;37;6;5;32;32;17
00006_00013.ppm;38;38;6;5;33;33;17
00006_00014.ppm;40;40;6;5;34;34;17
00006_00015.ppm;40;42;6;6;35;37;17
00006_00016.ppm;42;43;6;6;36;38;17
00006_00017.ppm;43;43;6;5;38;38;17
00006_00018.ppm;44;46;5;6;38;41;17
00006_00019.ppm;47;47;6;6;41;42;17
00006_00020.ppm;47;50;5;6;42;44;17
00006_00021.ppm;49;51;6;5;44;45;17
00006_00022.ppm;50;54;5;6;45;49;17
00006_00023.ppm;52;55;5;5;47;50;17
00006_00024.ppm;55;60;5;6;50;55;17
00006_00025.ppm;57;62;5;5;52;56;17
00006_00027.ppm;68;73;7;7;62;67;17
00006_00028.ppm;73;80;6;7;66;73;17
00006_00029.ppm;84;89;8;7;76;81;17
00007_00014.ppm;35;36;6;6;30;31;17
00007_00015.ppm;35;37;6;6;30;32;17
00007_00017.ppm;37;38;6;6;32;33;17
00007_00018.ppm;37;39;6;6;32;34;17
00007_00019.ppm;37;39;5;5;32;34;17
00007_00020.ppm;37;40;5;6;32;35;17
00007_00021.ppm;39;42;6;6;34;37;17
00007_00022.ppm;40;42;5;5;35;37;17
00007_00023.ppm;40;42;5;5;35;37;17
00007_00024.ppm;43;45;5;5;38;40;17
00007_00025.ppm;45;46;6;5;40;41;17
00007_00026.ppm;44;46;5;5;39;41;17
00007_00027.ppm;47;50;6;6;42;45;17
00007_00028.ppm;48;52;5;6;43;47;17
00007_00029.ppm;52;52;6;5;47;47;17
00009_00009.ppm;35;38;6;5;30;32;17
00009_00010.ppm;35;38;5;5;30;33;17
00009_00011.ppm;35;38;5;5;30;33;17
00009_00012.ppm;35;38;5;5;30;33;17
00009_00013.ppm;37;41;6;6;31;35;17
00009_00014.ppm;37;41;5;5;32;36;17
00009_00015.ppm;39;43;5;5;34;38;17
00009_00017.ppm;44;47;6;6;38;42;17
00009_00018.ppm;42;46;5;6;36;41;17
00009_00020.ppm;44;48;6;6;39;43;17
00009_00021.ppm;46;49;6;6;40;44;17
00009_00022.ppm;47;50;5;6;41;45;17
00009_00023.ppm;48;51;5;5;43;46;17
00009_00024.ppm;49;52;5;5;43;47;17
00009_00025.ppm;52;56;6;6;47;50;17
00009_00026.ppm;54;59;5;6;48;53;17
00009_00027.ppm;56;61;5;5;50;55;17
00009_00028.ppm;58;64;6;6;53;58;17
00010_00014.ppm;35;36;5;6;30;31;17
00010_00015.ppm;37;36;6;5;32;31;17
00010_00016.ppm;38;38;6;6;32;32;17
00010_00017.ppm;38;38;6;6;33;33;17
00010_00018.ppm;40;40;5;6;34;35;17
00010_00019.ppm;42;42;6;6;36;36;17
00010_00020.ppm;41;43;5;6;36;37;17
00010_00021.ppm;43;43;6;5;37;37;17
00010_00022.ppm;42;45;5;6;37;39;17
00010_00023.ppm;44;47;5;6;39;41;17
00010_00024.ppm;47;48;6;6;41;43;17
00010_00025.ppm;47;49;5;6;42;44;17
00010_00026.ppm;50;50;6;6;45;45;17
00010_00027.ppm;50;51;6;6;45;46;17
00010_00028.ppm;50;52;6;6;45;47;17
00010_00029.ppm;50;53;5;6;45;48;17
00012_00029.ppm;35;35;5;6;30;30;17
00015_00013.ppm;37;41;6;5;32;36;17
00015_00017.ppm;39;39;6;5;34;34;17
00015_00018.ppm;40;41;6;5;35;36;17
00015_00019.ppm;41;43;6;6;36;38;17
00015_00020.ppm;41;43;5;5;36;38;17
00015_00021.ppm;43;45;6;6;38;40;17
00015_00022.ppm;43;45;5;5;38;40;17
00015_00023.ppm;44;47;5;6;39;42;17
00015_00024.ppm;47;49;6;6;42;44;17
00015_00025.ppm;47;50;5;6;42;45;17
00015_00026.ppm;48;51;5;5;43;46;17
00015_00027.ppm;50;54;6;6;45;49;17
00015_00028.ppm;52;55;6;5;47;50;17
00015_00029.ppm;52;56;5;5;47;51;17
00016_00018.ppm;36;37;5;5;31;32;17
00016_00019.ppm;37;38;5;5;32;33;17
00016_00020.ppm;38;39;6;6;33;34;17
00016_00021.ppm;40;41;6;6;35;36;17
00016_00022.ppm;41;43;5;5;36;38;17
00016_00023.ppm;44;45;6;5;39;40;17
00016_00024.ppm;47;49;6;6;42;44;17
00016_00025.ppm;50;54;6;6;45;49;17
00016_00026.ppm;53;57;6;6;48;52;17
00016_00027.ppm;58;63;6;6;53;58;17
00017_00002.ppm;35;35;5;5;30;30;17
00017_00003.ppm;36;35;6;5;31;30;17
00017_00004.ppm;36;35;6;5;31;30;17
00017_00005.ppm;36;37;5;5;31;32;17
00017_00006.ppm;37;37;6;5;32;32;17
00017_00007.ppm;38;38;6;6;33;33;17
00017_00008.ppm;38;38;6;6;33;33;17
00017_00009.ppm;37;38;5;5;32;33;17
00017_00010.ppm;40;41;5;5;35;36;17
00017_00011.ppm;43;43;6;5;38;38;17
00017_00012.ppm;44;45;6;6;39;40;17
00017_00013.ppm;43;45;5;6;38;40;17
00017_00014.ppm;44;45;5;5;39;40;17
00017_00015.ppm;46;46;5;5;41;41;17
00017_00016.ppm;48;48;5;5;43;43;17
00017_00017.ppm;48;49;5;6;43;44;17
