Tabelle 1
Ordner_Name;Klasse
0;20_kmh
1;30_kmh
2;50_kmh
3;60_kmh
4;70_kmh
5;80_kmh
6;80_aufgehoben
7;100_kmh
8;120_kmh
9;ueberholverbot
10;lkw_ueberholverbot
11;einmalige_vorfahrt
12;vorfahrsstrasse
13;vorfahrt_gewaehren
14;stopp
15;durchfahrt_verboten
16;lkw_verboten
17;verbot_der_einfahrt
18;gefahrenstelle
19;scharfe_kurve_links
20;scharfe_kurve_rechts
21;s_kurve_links
22;unebene_fahrbahn
23;rutschgefahr
24;verengte_fahrbahn
25;baustelle
26;ampel
27;fussgaenger
28;achtung_kinder
29;achtung_fahrrad
30;achtung_eis
31;achtung_wildwechsel
32;unbegrenzt
33;vorgeschrieben_rechts
34;vorgeschrieben_links
35;vorgeschrieben_geradeaus
36;vorgeschrieben_geradeaus_rechts
37;vorgeschrieben_geradeaus_links
38;vorbeifahren_rechts
39;vorbeifahren_links
40;kreisverkehr
41;ueberholverbot_aufgehoben
42;lkw_ueberholverbot_aufgehoben
